№,ИНН,Наименование организации,Полное наименование организации,Статус СПАРК,Статус внутренний,Статус ИТОГ,Дата добавления в реестр,Юридический адрес,Адрес производства,Адрес дополнительной площадки,latitude,longitude,Основная отрасль,Подотрасль (Основная),Дополнительная отрасль,Подотрасль (Дополнительная),Отраслевые презентации,Основной ОКВЭД (СПАРК),Вид деятельности по основному ОКВЭД (СПАРК),Производственный ОКВЭД,Вид деятельности по производственному ОКВЭД,Общие сведения об организации,Размер предприятия (итог),Размер предприятия (итог) 2022,Размер предприятия (по численности),Размер предприятия (по численности) 2022,Размер предприятия (по выручке),Размер предприятия (по выручке) 2022,Дата регистрации,Руководитель,Головная организация,ИНН головной организации,Вид отношения головной организации,Контактные данные руководства,Почта руководства,Контакт сотрудника организации,Номер телефона,Контактные данные ответственного по ЧС,Сайт,Электронная почта,Данные о мерах поддержки,Наличие особого статуса,Площадка итог,Получена поддержка от г. Москвы,Системообразующее предприятие,Статус МСП,То самое,Финансово-экономические показатели,"Выручка предприятия, тыс. руб. 2017","Выручка предприятия, тыс. руб. 2018","Выручка предприятия, тыс. руб. 2019","Выручка предприятия, тыс. руб. 2020","Выручка предприятия, тыс. руб. 2021","Выручка предприятия, тыс. руб. 2022","Выручка предприятия, тыс. руб. 2023","Чистая прибыль (убыток),тыс. руб. 2017","Чистая прибыль (убыток),тыс. руб. 2018","Чистая прибыль (убыток),тыс. руб. 2019","Чистая прибыль (убыток),тыс. руб. 2020","Чистая прибыль (убыток),тыс. руб. 2021","Чистая прибыль (убыток),тыс. руб. 2022","Чистая прибыль (убыток),тыс. руб. 2023","Среднесписочная численность персонала (всего по компании), чел 2017","Среднесписочная численность персонала (всего по компании), чел 2018","Среднесписочная численность персонала (всего по компании), чел 2019","Среднесписочная численность персонала (всего по компании), чел 2020","Среднесписочная численность персонала (всего по компании), чел 2021","Среднесписочная численность персонала (всего по компании), чел 2022","Среднесписочная численность персонала (всего по компании), чел 2023","Среднесписочная численность персонала, работающего в Москве, чел 2017","Среднесписочная численность персонала, работающего в Москве, чел 2018","Среднесписочная численность персонала, работающего в Москве, чел 2019","Среднесписочная численность персонала, работающего в Москве, чел 2020","Среднесписочная численность персонала, работающего в Москве, чел 2021","Среднесписочная численность персонала, работающего в Москве, чел 2022","Среднесписочная численность персонала, работающего в Москве, чел 2023","Фонд оплаты труда всех сотрудников организации, тыс. руб 2017","Фонд оплаты труда всех сотрудников организации, тыс. руб 2018","Фонд оплаты труда всех сотрудников организации, тыс. руб 2019","Фонд оплаты труда всех сотрудников организации, тыс. руб 2020","Фонд оплаты труда всех сотрудников организации, тыс. руб 2021","Фонд оплаты труда всех сотрудников организации, тыс. руб 2022","Фонд оплаты труда всех сотрудников организации, тыс. руб 2023","Средняя з.п. всех сотрудников организации,  тыс.руб. 2017","Средняя з.п. всех сотрудников организации,  тыс.руб. 2018","Средняя з.п. всех сотрудников организации,  тыс.руб. 2019","Средняя з.п. всех сотрудников организации,  тыс.руб. 2020","Средняя з.п. всех сотрудников организации,  тыс.руб. 2021","Средняя з.п. всех сотрудников организации,  тыс.руб. 2022","Средняя з.п. всех сотрудников организации,  тыс.руб. 2023","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2017","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2018","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2019","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2020","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2021","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2022","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2023","Налог на прибыль, тыс.руб. 2017","Налог на прибыль, тыс.руб. 2018","Налог на прибыль, тыс.руб. 2019","Налог на прибыль, тыс.руб. 2020","Налог на прибыль, тыс.руб. 2021","Налог на прибыль, тыс.руб. 2022","Налог на прибыль, тыс.руб. 2023"
76,3131057424,ООО «ОПром»,Общество с ограниченной ответственностью «ОПром»»,Ликвидирована,Заморожена,Не в реестре,2024-11-24,"п. Качканар, ул. Томская, д. 11 к. 6/3, 459334","п. Качканар, ул. Томская, д. 11 к. 6/3, 459334","д. Петропавловск-Камчатский, алл. Сибирская, д. 8 стр. 27, 096105",55.712791,37.722661,Металлургия,Сборка оборудования,Переработка,Сервис,Есть,28.41,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ОПром» — промышленное предприятие, действующее с 2015 года.",Среднее,Малое,Среднее,Крупное,Малое,Крупное,2015-04-10,Шарапов Таисия Евгеньевна,ОАО «Беспалов-Щукин»,7516525681,Дочерняя,8 776 004 9082,ermil_1995@shashkova.biz,Варвара Евгеньевна Дементьева,8 776 004 9082,Елисеева Агафья Мироновна,https://oao.com,ermil_1995@shashkova.biz,Не получала,Нет,Москва,Да,Нет,Микро,Да,Стабильный рост выручки и численности персонала,5257373,5310738,5054012,5188242,4284009,4246608,3997781,491961,485254,726346,278594,382466,532384,514102,224,270,296,320,248,304,338,255,227,211,223,233,217,194,4454194,4799505,4787665,4716780,5249890,4550303,4485291,2262,2385,2247,2620,2674,2252,2115,225835,238588,254955,223781,255816,259429,260591,261942,700426,388991,282552,592580,583123,358944
77,3807379048,ООО «ДругойПром»,Общество с ограниченной ответственностью «ДругойПром»»,Ликвидирована,Заморожена,В реестре,2024-04-04,"д. Белгород, пр. Васильковый, д. 768 стр. 82, 769389","д. Белгород, пр. Васильковый, д. 768 стр. 82, 769389","г. Курган, наб. Родниковая, д. 666 к. 4, 590425",55.737441,37.575311,Деревообработка,Производство деталей,Логистика,Транспортировка,Нет,20.13,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ДругойПром» — промышленное предприятие, действующее с 2016 года.",Крупное,Крупное,Малое,Крупное,Среднее,Малое,2016-06-09,Костин Станислав Анатольевич,Харитонова Групп,3374969448,Дочерняя,8 (998) 136-46-22,ija_1985@rao.info,Быкова Алина Евгеньевна,8 (998) 136-46-22,Давыдов Герман Архипович,https://zao.biz,ija_1985@rao.info,Получала грант,Да,Москва,Да,Нет,Крупное,Да,Стабильный рост выручки и численности персонала,2120985,2127059,2320864,2399518,2180009,2373449,2015974,189559,203549,234886,173229,296651,362534,250658,119,134,142,120,138,130,130,122,112,106,92,97,88,94,2316708,2058927,2207782,2111615,2197789,1856659,1887259,1271,1105,893,977,1024,847,866,125490,108675,113761,119957,121792,118358,111591,157104,227843,132340,292642,118900,121879,131956
78,1332646182,ООО «ОсвободитьПром»,Общество с ограниченной ответственностью «ОсвободитьПром»»,В процессе ликвидации,Проверка,Не в реестре,2018-03-01,"к. Зеленоград, наб. Путейская, д. 1, 016451","к. Зеленоград, наб. Путейская, д. 1, 016451","п. Оленек, бул. Песочный, д. 8 стр. 923, 800384",55.714395,37.639672,Металлургия,Производство деталей,Переработка,Транспортировка,Нет,25.62,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ОсвободитьПром» — промышленное предприятие, действующее с 2005 года.",Среднее,Малое,Среднее,Среднее,Среднее,Малое,2005-08-17,Овчинникова Аполлинарий Демьянович,НПО «Устинов-Копылова»,6904358583,Филиал,+7 (833) 884-8792,agafon51@npo.biz,Коновалов Милован Ильич,+7 (833) 884-8792,Фролова Прасковья Игоревна,https://shashkova.edu,agafon51@npo.biz,Получала субсидию,Да,Москва,Нет,Да,Среднее,Да,Стабильный рост выручки и численности персонала,2576400,2459708,3029144,3134008,3109373,3387693,3222438,170884,435186,504718,309262,369249,379573,241872,134,148,141,133,132,148,168,129,140,124,136,123,109,120,2977042,2783255,2994919,2732428,2831860,2548395,2636890,1507,1182,1328,1383,1163,1061,1130,129873,135452,141836,137452,137074,138539,157269,318697,291998,239892,358361,258154,393601,390200
79,7242851593,ООО «КидатьПром»,Общество с ограниченной ответственностью «КидатьПром»»,Действует,Заморожена,Не в реестре,2020-09-13,"клх Джубга, пер. Краснознаменный, д. 94 стр. 36, 518812","клх Джубга, пер. Краснознаменный, д. 94 стр. 36, 518812","ст. Морозовск, пр. Лермонтова, д. 5/3 к. 31, 099499",55.790401,37.711574,Химическая промышленность,Производство деталей,Ремонт,Транспортировка,Нет,20.13,Производство промышленной продукции,28.41,Производство оборудования,"ООО «КидатьПром» — промышленное предприятие, действующее с 2020 года.",Малое,Малое,Малое,Малое,Малое,Среднее,2020-04-14,Ильин Ярослав Дмитриевич,Суворов Лтд,6520137641,Филиал,8 (936) 392-6495,georgialeksandrov@ooo.info,Зимин Александр Ильясович,8 (936) 392-6495,Гуляев Самсон Венедиктович,https://oao.biz,georgialeksandrov@ooo.info,Получала грант,Да,Москва,Да,Да,Крупное,Нет,Стабильный рост выручки и численности персонала,4004296,3989068,3664909,3442968,3459305,3010844,2985468,456698,238832,380330,521731,257214,194982,534351,203,186,158,164,182,160,184,177,191,209,224,211,221,194,3731323,3708282,4358541,4165088,4180133,4367190,4031391,1826,1769,1806,1889,1991,2227,1918,175874,199432,171382,180330,176206,188060,212959,323427,258232,602780,535847,436147,233250,358750
80,1497439597,ООО «ЗадержатьПром»,Общество с ограниченной ответственностью «ЗадержатьПром»»,В процессе ликвидации,Активна,Не в реестре,2022-09-29,"п. Ростов, ш. Дачное, д. 6/7 к. 881, 038860","п. Ростов, ш. Дачное, д. 6/7 к. 881, 038860","п. Люберцы, пр. Свободы, д. 8 к. 56, 827718",55.690336,37.679124,Пищевая промышленность,Комплектующие,Логистика,Сервис,Есть,10.51,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ЗадержатьПром» — промышленное предприятие, действующее с 2021 года.",Малое,Среднее,Малое,Крупное,Крупное,Среднее,2021-09-02,Терентьева Эрнест Харитонович,АО «Савина»,2756666624,Холдинг,8 046 333 12 79,eivanova@ao.ru,Рожкова София Валентиновна,8 046 333 12 79,Любомир Филимонович Козлов,https://energosbitovaja.com,eivanova@ao.ru,Получала грант,Нет,Другой регион,Нет,Нет,Крупное,Нет,Стабильный рост выручки и численности персонала,2943513,2504333,2715437,2536068,2504538,2434285,2439183,334048,346185,309309,222144,320733,282723,450511,147,143,121,113,115,118,149,128,150,130,119,137,118,115,2893871,2712790,3022274,3017710,3122687,2588470,2541131,1348,1491,1624,1422,1589,1410,1690,134426,130405,153002,137977,156620,151861,142163,434166,285923,271171,282816,294705,210579,443793
81,1360299556,ООО «ПробоватьПром»,Общество с ограниченной ответственностью «ПробоватьПром»»,В процессе ликвидации,Заморожена,В реестре,2023-04-19,"п. Долинск, ш. Больничное, д. 5/5, 421230","п. Долинск, ш. Больничное, д. 5/5, 421230","с. Талдом, пер. Садовый, д. 4/4 к. 8/7, 199038",55.663726,37.690377,Пищевая промышленность,Производство деталей,Логистика,Транспортировка,Нет,20.13,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ПробоватьПром» — промышленное предприятие, действующее с 2010 года.",Среднее,Крупное,Крупное,Среднее,Малое,Малое,2010-10-25,Буров Харлампий Натановна,ЗАО «Матвеева-Кудрявцева»,7866493470,Дочерняя,8 186 892 6860,terentevvladilen@rao.info,Евфросиния Альбертовна Герасимова,8 186 892 6860,Лапин Милен Алексеевич,https://npo.biz,terentevvladilen@rao.info,Получала грант,Да,Другой регион,Нет,Нет,Среднее,Да,Стабильный рост выручки и численности персонала,4002387,4143060,4422712,4091912,4790436,4911106,4194731,479219,486515,300058,346667,404603,206653,472708,222,234,213,208,230,223,220,191,201,180,174,132,132,122,4012031,4023179,3510813,3724032,3329952,3011851,3541427,2051,2019,2206,1909,2128,1897,1944,201595,208397,192050,185672,173291,200624,159914,557709,462500,552771,517617,382015,344454,329324
82,7332834814,ООО «ЧислоПром»,Общество с ограниченной ответственностью «ЧислоПром»»,Ликвидирована,Заморожена,В реестре,2022-11-11,"ст. Ростов, ул. Гагарина, д. 3/2 стр. 6, 833901","ст. Ростов, ул. Гагарина, д. 3/2 стр. 6, 833901","клх Шенкурск, наб. Войкова, д. 5 стр. 3, 877293",55.713257,37.710065,Химическая промышленность,Комплектующие,Ремонт,Ремонт деталей,Нет,13.2,Производство промышленной продукции,25.62,Производство оборудования,"ООО «ЧислоПром» — промышленное предприятие, действующее с 2017 года.",Среднее,Малое,Среднее,Среднее,Малое,Среднее,2017-07-17,Гурьева Амос Кирилловна,Нокиан Шина (Nokian),3943631361,Холдинг,89827950145,bojan_01@ao.net,Агата Васильевна Козлова,89827950145,Викторин Глебович Лаврентьев,https://filatova.biz,bojan_01@ao.net,Получала грант,Нет,Москва,Да,Нет,Крупное,Нет,Стабильный рост выручки и численности персонала,4794738,4616598,4217387,4110389,4273734,4381768,4029948,382285,439530,255935,503087,377013,814558,778676,242,218,193,206,216,228,208,241,230,227,197,191,204,208,4646214,4593986,4920471,5020313,4345311,4773494,4267293,2058,1905,1900,2076,2127,1865,2080,223920,205825,233176,192061,179970,164666,172746,363163,706318,641918,562617,404910,270954,548598
83,6561692070,ООО «ПриятельПром»,Общество с ограниченной ответственностью «ПриятельПром»»,Ликвидирована,Активна,Не в реестре,2022-09-21,"к. Находка, пр. Монтажников, д. 327 стр. 9/6, 608495","к. Находка, пр. Монтажников, д. 327 стр. 9/6, 608495","д. Надым, ул. Учительская, д. 1 к. 7, 996291",55.716326,37.622895,Текстильная промышленность,Сборка оборудования,Переработка,Транспортировка,Нет,13.2,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ПриятельПром» — промышленное предприятие, действующее с 2005 года.",Среднее,Малое,Малое,Крупное,Крупное,Малое,2005-12-28,Никонов Остромир Андреевич,ООО «Гришина-Евдокимов»,2656485964,Холдинг,+7 448 850 15 56,avtonomkabanov@ooo.edu,Дорофеева Надежда Богдановна,+7 448 850 15 56,г-н Давыдов Радислав Ефимьевич,https://ip.org,avtonomkabanov@ooo.edu,Получала субсидию,Да,Другой регион,Нет,Нет,Среднее,Да,Стабильный рост выручки и численности персонала,3767659,4073210,4360796,3887539,4023397,4108969,3566382,447866,392588,375515,210333,196141,335429,469428,205,161,187,188,198,196,226,196,177,204,186,204,165,163,4034700,4275583,4096910,3813893,4624758,4242012,4792048,1881,1775,2014,1646,1538,1507,1510,206837,206753,174625,189938,186494,198011,203059,443117,281443,288651,483125,411717,515159,466612
84,6880379609,ООО «НаходитьПром»,Общество с ограниченной ответственностью «НаходитьПром»»,Действует,Заморожена,Не в реестре,2024-06-14,"с. Троицк (Челяб.), ул. Чехова, д. 691, 018409","с. Троицк (Челяб.), ул. Чехова, д. 691, 018409","к. Кандалакша, наб. Энергетическая, д. 8, 422410",55.716042,37.567458,Химическая промышленность,Производство деталей,Переработка,Ремонт деталей,Есть,10.51,Производство промышленной продукции,25.62,Производство оборудования,"ООО «НаходитьПром» — промышленное предприятие, действующее с 2011 года.",Крупное,Крупное,Среднее,Среднее,Крупное,Среднее,2011-12-25,Богданова Ладислав Всеволодович,Баранова Лтд,6067527304,Дочерняя,+7 (357) 845-21-82,vadimzuev@vasilev.net,Потапов Милий Жоресович,+7 (357) 845-21-82,Кондратий Демьянович Романов,https://ip.ru,vadimzuev@vasilev.net,Получала грант,Нет,Подмосковье,Нет,Да,Среднее,Нет,Стабильный рост выручки и численности персонала,4064104,4330538,3739195,3688800,4259666,3637195,3420957,276915,425159,512030,364252,318581,483545,696216,217,190,230,250,189,219,206,223,220,190,226,229,214,214,3900539,4096413,4184676,3726152,3286097,3685581,4021625,2065,2085,1739,1930,2020,2369,2487,228104,199133,204261,169851,164531,173988,153276,577810,662081,683744,790290,662751,471451,706072
85,4342811602,ООО «ПлодПром»,Общество с ограниченной ответственностью «ПлодПром»»,В процессе ликвидации,Активна,Не в реестре,2021-05-03,"д. Гусь-Хрустальный, ш. Семашко, д. 874, 332945","д. Гусь-Хрустальный, ш. Семашко, д. 874, 332945","ст. Мураши, пр. Красноармейский, д. 671 к. 8/3, 599281",55.741145,37.63364,Химическая промышленность,Производство деталей,Переработка,Транспортировка,Нет,28.41,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ПлодПром» — промышленное предприятие, действующее с 2023 года.",Крупное,Крупное,Среднее,Малое,Крупное,Среднее,2023-02-25,Ефремов Юлий Игоревич,"ОАО «Савельева, Горбачева и Соболев»",6441952391,Холдинг,8 629 979 54 53,voronovaalla@npo.ru,Аскольд Ефимьевич Лукин,8 629 979 54 53,Харлампий Фадеевич Журавлев,https://belozerov.com,voronovaalla@npo.ru,Получала субсидию,Нет,Москва,Да,Да,Микро,Нет,Стабильный рост выручки и численности персонала,4108470,3840226,4338795,4558306,4503511,4154437,4312964,371270,324968,329777,342532,505315,548542,611878,212,232,212,233,205,212,205,212,227,240,242,234,222,205,4063974,4963715,5160603,5667701,4896929,5220559,5197043,1992,2353,2577,2503,2462,2343,2372,223288,192175,177145,199975,198736,200764,217188,356697,294067,267941,685934,324049,273851,506468
86,4922193193,ООО «АкадемикПром»,Общество с ограниченной ответственностью «АкадемикПром»»,В процессе ликвидации,Активна,В реестре,2023-08-16,"к. Плес, пер. Приозерный, д. 6/8, 132902","к. Плес, пер. Приозерный, д. 6/8, 132902","д. Люберцы, пер. Волкова, д. 63 к. 5, 519098",55.796985,37.700749,Пищевая промышленность,Сборка оборудования,Переработка,Ремонт деталей,Нет,25.62,Производство промышленной продукции,20.13,Производство оборудования,"ООО «АкадемикПром» — промышленное предприятие, действующее с 2008 года.",Крупное,Крупное,Крупное,Малое,Среднее,Среднее,2008-04-28,Мартынов Трофим Владиленович,"ОАО «Сидоров, Артемьева и Сафонов»",7885901965,Дочерняя,+7 (219) 719-9758,bkapustina@moiseeva.net,Мясников Ульян Антипович,+7 (219) 719-9758,Шилов Мирон Брониславович,https://npo.edu,bkapustina@moiseeva.net,Не получала,Нет,Другой регион,Да,Нет,Малое,Да,Стабильный рост выручки и численности персонала,3361006,3077312,2741697,3232466,3505455,3304387,3686144,301484,385047,298555,179833,358036,192220,469736,147,173,168,144,158,148,145,166,151,172,172,154,162,156,3178783,2992495,2942080,2700752,2888594,3017580,2806886,1503,1485,1563,1486,1873,1812,1551,168244,188337,162725,176092,201607,187033,190335,457467,377638,171757,211944,351427,271157,326507
87,6164826959,ООО «СлишкомПром»,Общество с ограниченной ответственностью «СлишкомПром»»,Ликвидирована,Заморожена,В реестре,2021-08-12,"клх Суздаль, пр. Геологический, д. 826 стр. 3/8, 876532","клх Суздаль, пр. Геологический, д. 826 стр. 3/8, 876532","ст. Ковров, пер. Угольный, д. 9/6 стр. 809, 197128",55.668512,37.5462,Текстильная промышленность,Сборка оборудования,Переработка,Ремонт деталей,Нет,16.1,Производство промышленной продукции,16.1,Производство оборудования,"ООО «СлишкомПром» — промышленное предприятие, действующее с 2007 года.",Малое,Малое,Крупное,Крупное,Среднее,Малое,2007-06-11,Воронцов Амвросий Данилович,НПО «Павлова-Яковлев»,3246047970,Дочерняя,+7 (386) 562-42-20,ykornilov@zao.info,Костина Анна Ефимовна,+7 (386) 562-42-20,Бажен Ефстафьевич Костин,https://ooo.biz,ykornilov@zao.info,Получала грант,Да,Другой регион,Да,Да,Крупное,Да,Стабильный рост выручки и численности персонала,343211,405171,386160,400725,441624,434142,433227,40343,43775,35573,31988,30966,22931,41347,18,18,22,19,21,21,21,19,18,18,16,17,16,14,379777,431311,383754,395718,363219,438754,439261,181,193,200,195,180,187,186,17683,21015,17275,17638,18518,20657,20031,28154,50550,29292,30972,34128,45505,30063
88,8589415939,ООО «ДругойПром»,Общество с ограниченной ответственностью «ДругойПром»»,Действует,Заморожена,Не в реестре,2018-02-14,"ст. Якутск, наб. Водников, д. 228, 429444","ст. Якутск, наб. Водников, д. 228, 429444","д. Ейск, пр. Павлова, д. 44 стр. 3/9, 512927",55.715702,37.431694,Машиностроение,Сборка оборудования,Логистика,Ремонт деталей,Нет,10.51,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ДругойПром» — промышленное предприятие, действующее с 2010 года.",Среднее,Малое,Малое,Малое,Крупное,Крупное,2010-10-03,Никонова Мефодий Алексеевна,"ОАО «Комиссаров, Мухин и Коновалова»",2176662219,Дочерняя,+74209494079,filipp2019@npo.edu,Гурий Глебович Игнатьев,+74209494079,Коновалова Алла Захаровна,https://npo.net,filipp2019@npo.edu,Не получала,Да,Подмосковье,Нет,Нет,Микро,Нет,Стабильный рост выручки и численности персонала,1872007,1853863,1593324,1617365,1566998,1505326,1321196,106352,275181,118541,153002,148063,226495,132312,91,100,109,106,108,100,94,81,88,89,95,80,79,69,1788136,1968422,1811094,1719693,1994731,2076335,1943889,831,939,886,1056,938,1052,886,91967,94258,99483,87825,102562,88525,83194,138969,188964,216124,273055,242882,121603,288844
89,5592466298,ООО «СопровождатьсяПром»,Общество с ограниченной ответственностью «СопровождатьсяПром»»,В процессе ликвидации,Активна,В реестре,2022-06-04,"д. Новгород Великий, пер. Абрикосовый, д. 5 к. 2, 967393","д. Новгород Великий, пер. Абрикосовый, д. 5 к. 2, 967393","к. Усолье Сибирское, бул. Октябрьский, д. 206, 753443",55.792313,37.613065,Химическая промышленность,Сборка оборудования,Ремонт,Транспортировка,Нет,25.62,Производство промышленной продукции,25.62,Производство оборудования,"ООО «СопровождатьсяПром» — промышленное предприятие, действующее с 2023 года.",Среднее,Крупное,Крупное,Среднее,Крупное,Среднее,2023-01-16,Нестерова Виктор Антипович,РАО «Белоусова»,5404162067,Холдинг,8 742 860 47 65,olga2021@abramov.org,Субботин Чеслав Григорьевич,8 742 860 47 65,Варвара Васильевна Беляева,https://npo.biz,olga2021@abramov.org,Получала субсидию,Да,Подмосковье,Да,Нет,Крупное,Нет,Стабильный рост выручки и численности персонала,1931369,1919144,1816030,1699921,1913473,1746390,1679047,220371,292702,299803,196471,147474,166255,129026,104,119,98,111,106,124,131,98,85,83,88,78,85,93,2044740,2165159,2089799,2376082,2460619,2033035,2104630,992,991,1036,1000,1133,1070,898,92884,111693,101743,90094,94190,81977,81412,202379,298030,181277,172766,185123,312640,147406
90,5047101003,ООО «ЗаведениеПром»,Общество с ограниченной ответственностью «ЗаведениеПром»»,В процессе ликвидации,Активна,Не в реестре,2023-03-23,"к. Билибино, ш. Кузнецкое, д. 27 к. 4/7, 712863","к. Билибино, ш. Кузнецкое, д. 27 к. 4/7, 712863","клх Кропоткин (Краснод.), ул. Станционная, д. 894, 720064",55.697227,37.707451,Металлургия,Сборка оборудования,Переработка,Ремонт деталей,Есть,25.62,Производство промышленной продукции,20.13,Производство оборудования,"ООО «ЗаведениеПром» — промышленное предприятие, действующее с 2007 года.",Крупное,Малое,Малое,Среднее,Среднее,Малое,2007-02-15,Жукова Владислав Матвеевич,ООО «Прохоров Щукина»,9478079661,Холдинг,+77174654214,samsonovvenedikt@kubanskaja.biz,Авдей Якубович Рогов,+77174654214,Пелагея Романовна Кудряшова,https://neftehimremstro.edu,samsonovvenedikt@kubanskaja.biz,Получала субсидию,Нет,Москва,Нет,Нет,Среднее,Да,Стабильный рост выручки и численности персонала,862383,753071,881930,853473,882227,824684,932803,67814,102245,114526,121174,80165,105288,84132,38,44,47,46,48,44,39,37,36,35,38,35,34,32,842816,799335,682956,711358,782834,733366,841387,423,374,426,355,329,344,357,43349,43336,34542,43844,43139,39365,46411,96622,57153,56894,44894,63932,93952,49316
91,1830523409,ООО «КомандованиеПром»,Общество с ограниченной ответственностью «КомандованиеПром»»,Действует,Проверка,В реестре,2018-07-15,"с. Калевала, бул. Разина, д. 257 к. 4/3, 309376","с. Калевала, бул. Разина, д. 257 к. 4/3, 309376","д. Североморск, ул. Лазо, д. 750, 387829",55.690602,37.709015,Химическая промышленность,Сборка оборудования,Ремонт,Сервис,Есть,25.62,Производство промышленной продукции,10.51,Производство оборудования,"ООО «КомандованиеПром» — промышленное предприятие, действующее с 2011 года.",Крупное,Малое,Среднее,Среднее,Крупное,Малое,2011-11-30,Кулакова Милица Семеновна,РАО «Богданов Горшкова»,3023399168,Холдинг,8 460 158 5174,steterina@rao.biz,Лапин Адам Харитонович,8 460 158 5174,Юлия Аскольдовна Николаева,https://zao.ru,steterina@rao.biz,Получала грант,Нет,Москва,Нет,Да,Микро,Нет,Стабильный рост выручки и численности персонала,693826,689196,729342,733383,646190,775076,739680,42633,75769,97537,107912,41773,73099,74444,37,31,27,31,30,29,27,37,37,37,36,40,38,37,648337,662705,753448,782229,724450,807602,891255,315,394,354,353,340,333,271,33201,35840,31338,28383,32736,31817,32571,89655,87411,105554,83456,57561,94526,66852
92,6163191165,ООО «СходитьПром»,Общество с ограниченной ответственностью «СходитьПром»»,Ликвидирована,Проверка,Не в реестре,2019-05-28,"к. Катайск, пер. Ангарский, д. 2, 426258","к. Катайск, пер. Ангарский, д. 2, 426258","д. Бавлы, ул. Достоевского, д. 80, 002194",55.796279,37.658838,Текстильная промышленность,Сборка оборудования,Ремонт,Ремонт деталей,Нет,28.41,Производство промышленной продукции,28.41,Производство оборудования,"ООО «СходитьПром» — промышленное предприятие, действующее с 2016 года.",Крупное,Малое,Среднее,Малое,Малое,Малое,2016-01-13,Маркова Владислав Авдеевич,"ООО «Кабанова, Кошелева и Ермакова»",7702233282,Холдинг,+7 179 931 36 56,panovjulian@oao.edu,Владлен Гертрудович Баранов,+7 179 931 36 56,Галкина Нонна Наумовна,https://ooo.biz,panovjulian@oao.edu,Получала субсидию,Да,Подмосковье,Да,Да,Микро,Да,Стабильный рост выручки и численности персонала,4501189,4523933,4031671,3846129,3928380,3658520,3304750,594703,394614,274716,302651,304876,523384,259446,218,226,239,201,241,235,239,211,215,220,227,227,195,195,4362035,4008263,4182379,4119373,3661443,4115901,4002238,2172,2239,2306,2121,2365,2290,2114,218984,211241,207192,186069,172126,209761,183878,298185,472379,439926,280248,453704,301521,279138
93,7570320619,ООО «ПрелестьПром»,Общество с ограниченной ответственностью «ПрелестьПром»»,В процессе ликвидации,Активна,В реестре,2020-02-21,"ст. Ялуторовск, алл. Энергетическая, д. 331 стр. 8/3, 005436","ст. Ялуторовск, алл. Энергетическая, д. 331 стр. 8/3, 005436","г. Воркута, ул. Смоленская, д. 80 стр. 813, 635315",55.80327,37.565156,Текстильная промышленность,Комплектующие,Ремонт,Ремонт деталей,Есть,13.2,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ПрелестьПром» — промышленное предприятие, действующее с 2017 года.",Малое,Крупное,Среднее,Крупное,Крупное,Среднее,2017-04-25,Мясникова Демид Геннадиевна,РАО «Мухин Чернова»,7045485090,Холдинг,+75608331819,terentevsigizmund@strelkova.org,Евстигней Матвеевич Рожков,+75608331819,Воронов Фотий Чеславович,https://gruppa.net,terentevsigizmund@strelkova.org,Получала грант,Да,Подмосковье,Да,Да,Среднее,Нет,Стабильный рост выручки и численности персонала,1400088,1493382,1457933,1401144,1267881,1235140,1202198,82441,109585,160187,86440,121735,172249,130173,70,70,74,65,79,78,87,65,85,81,91,93,92,94,1567986,1308258,1525787,1754307,1799196,2053860,1899206,690,745,684,535,689,676,641,66844,72742,82275,87063,84542,79006,80280,160467,75915,121662,115475,200908,104710,166026
